=== Training started for VisionTransformer with strategy: lora ===
Device: cuda, LR: 0.0001, Batch size: 50, Epochs: 20
[Strategy 4] Training with LoRA: 7,159,936 / 93,155,970 (7.69%)
[VisionTransformer] Warning: very low grad mean (2.85e-06)
[VisionTransformer] Warning: very low grad mean (4.97e-06)
[VisionTransformer] Warning: very low grad mean (5.76e-06)
[VisionTransformer] Warning: very low grad mean (3.62e-06)
[VisionTransformer] Warning: very low grad mean (1.27e-05)
[VisionTransformer] Warning: very low grad mean (2.85e-06)
[VisionTransformer] Warning: very low grad mean (9.21e-06)
[VisionTransformer] Warning: very low grad mean (3.16e-06)
[VisionTransformer] Warning: very low grad mean (2.16e-06)
[VisionTransformer] Warning: very low grad mean (4.55e-06)
[VisionTransformer] Warning: very low grad mean (7.55e-06)
[VisionTransformer] Warning: very low grad mean (8.48e-06)
[VisionTransformer] Warning: very low grad mean (5.19e-06)
[VisionTransformer] Warning: very low grad mean (6.67e-06)
[VisionTransformer] Warning: very low grad mean (2.49e-06)
[VisionTransformer] Warning: very low grad mean (4.15e-06)
[VisionTransformer] Train Epoch 11: Loss=0.00025, Acc=1.00000
[VisionTransformer] Val Epoch 11: Loss=0.23782, Acc=0.95111
[VisionTransformer] Warning: very low grad mean (5.20e-06)
[VisionTransformer] Warning: very low grad mean (3.29e-06)
[VisionTransformer] Warning: very low grad mean (5.68e-06)
[VisionTransformer] Warning: very low grad mean (3.87e-06)
[VisionTransformer] Warning: very low grad mean (2.81e-06)
[VisionTransformer] Warning: very low grad mean (2.97e-06)
[VisionTransformer] Warning: very low grad mean (8.13e-06)
[VisionTransformer] Warning: very low grad mean (4.13e-06)
[VisionTransformer] Warning: very low grad mean (6.55e-06)
[VisionTransformer] Warning: very low grad mean (4.96e-06)
[VisionTransformer] Warning: very low grad mean (5.69e-06)
[VisionTransformer] Warning: very low grad mean (2.94e-06)
[VisionTransformer] Warning: very low grad mean (4.92e-06)
[VisionTransformer] Warning: very low grad mean (5.33e-06)
[VisionTransformer] Warning: very low grad mean (2.83e-06)
[VisionTransformer] Warning: very low grad mean (1.95e-06)
[VisionTransformer] Warning: very low grad mean (1.36e-05)
[VisionTransformer] Warning: very low grad mean (2.09e-06)
[VisionTransformer] Warning: very low grad mean (6.64e-06)
[VisionTransformer] Warning: very low grad mean (1.06e-05)
[VisionTransformer] Warning: very low grad mean (1.03e-05)
[VisionTransformer] Warning: very low grad mean (2.26e-06)
[VisionTransformer] Warning: very low grad mean (5.82e-06)
[VisionTransformer] Warning: very low grad mean (3.80e-06)
[VisionTransformer] Warning: very low grad mean (6.03e-06)
[VisionTransformer] Warning: very low grad mean (9.26e-06)
[VisionTransformer] Warning: very low grad mean (3.68e-06)
[VisionTransformer] Warning: very low grad mean (4.27e-06)
[VisionTransformer] Warning: very low grad mean (5.05e-06)
[VisionTransformer] Warning: very low grad mean (2.36e-06)
[VisionTransformer] Warning: very low grad mean (5.56e-06)
[VisionTransformer] Warning: very low grad mean (1.02e-05)
[VisionTransformer] Warning: very low grad mean (4.80e-06)
[VisionTransformer] Warning: very low grad mean (1.09e-05)
[VisionTransformer] Warning: very low grad mean (7.34e-06)
[VisionTransformer] Warning: very low grad mean (4.04e-06)
[VisionTransformer] Warning: very low grad mean (3.56e-06)
[VisionTransformer] Warning: very low grad mean (2.36e-06)
[VisionTransformer] Warning: very low grad mean (1.72e-06)
[VisionTransformer] Warning: very low grad mean (1.80e-06)
[VisionTransformer] Warning: very low grad mean (2.32e-06)
[VisionTransformer] Warning: very low grad mean (4.13e-06)
[VisionTransformer] Train Epoch 12: Loss=0.00020, Acc=1.00000
[VisionTransformer] Val Epoch 12: Loss=0.23744, Acc=0.95333
[VisionTransformer] Warning: very low grad mean (1.97e-06)
[VisionTransformer] Warning: very low grad mean (1.86e-06)
[VisionTransformer] Warning: very low grad mean (9.70e-06)
[VisionTransformer] Warning: very low grad mean (6.67e-06)
[VisionTransformer] Warning: very low grad mean (2.63e-06)
[VisionTransformer] Warning: very low grad mean (2.83e-06)
[VisionTransformer] Warning: very low grad mean (2.22e-06)
[VisionTransformer] Warning: very low grad mean (2.46e-06)
[VisionTransformer] Warning: very low grad mean (1.97e-06)
[VisionTransformer] Warning: very low grad mean (4.81e-06)
[VisionTransformer] Warning: very low grad mean (1.74e-06)
[VisionTransformer] Warning: very low grad mean (5.71e-06)
[VisionTransformer] Warning: very low grad mean (2.23e-06)
[VisionTransformer] Warning: very low grad mean (7.57e-06)
[VisionTransformer] Warning: very low grad mean (6.40e-06)
[VisionTransformer] Warning: very low grad mean (2.07e-06)
[VisionTransformer] Warning: very low grad mean (5.38e-06)
[VisionTransformer] Warning: very low grad mean (2.71e-06)
[VisionTransformer] Warning: very low grad mean (4.40e-06)
[VisionTransformer] Warning: very low grad mean (8.69e-06)
[VisionTransformer] Warning: very low grad mean (3.81e-06)
[VisionTransformer] Warning: very low grad mean (5.59e-06)
[VisionTransformer] Warning: very low grad mean (2.80e-06)
[VisionTransformer] Warning: very low grad mean (2.12e-06)
[VisionTransformer] Warning: very low grad mean (3.05e-06)
[VisionTransformer] Warning: very low grad mean (3.01e-06)
[VisionTransformer] Warning: very low grad mean (2.45e-06)
[VisionTransformer] Warning: very low grad mean (3.11e-06)
[VisionTransformer] Warning: very low grad mean (4.15e-06)
[VisionTransformer] Warning: very low grad mean (4.77e-06)
[VisionTransformer] Warning: very low grad mean (3.18e-06)
[VisionTransformer] Warning: very low grad mean (1.46e-06)
[VisionTransformer] Warning: very low grad mean (2.64e-06)
[VisionTransformer] Warning: very low grad mean (6.21e-06)
[VisionTransformer] Warning: very low grad mean (3.02e-06)
[VisionTransformer] Warning: very low grad mean (4.90e-06)
[VisionTransformer] Warning: very low grad mean (2.11e-06)
[VisionTransformer] Warning: very low grad mean (4.90e-06)
[VisionTransformer] Warning: very low grad mean (2.61e-06)
[VisionTransformer] Warning: very low grad mean (6.11e-06)
[VisionTransformer] Warning: very low grad mean (4.67e-06)
[VisionTransformer] Warning: very low grad mean (2.74e-06)
[VisionTransformer] Train Epoch 13: Loss=0.00015, Acc=1.00000
[VisionTransformer] Val Epoch 13: Loss=0.24537, Acc=0.95556
[VisionTransformer] Warning: very low grad mean (2.82e-06)
[VisionTransformer] Warning: very low grad mean (8.68e-06)
[VisionTransformer] Warning: very low grad mean (5.64e-06)
[VisionTransformer] Warning: very low grad mean (2.06e-06)
[VisionTransformer] Warning: very low grad mean (4.32e-06)
[VisionTransformer] Warning: very low grad mean (6.00e-06)
[VisionTransformer] Warning: very low grad mean (3.22e-06)
[VisionTransformer] Warning: very low grad mean (5.81e-06)
[VisionTransformer] Warning: very low grad mean (2.71e-06)
[VisionTransformer] Warning: very low grad mean (3.37e-06)
[VisionTransformer] Warning: very low grad mean (4.70e-06)
[VisionTransformer] Warning: very low grad mean (2.15e-06)
[VisionTransformer] Warning: very low grad mean (5.60e-06)
[VisionTransformer] Warning: very low grad mean (2.61e-06)
[VisionTransformer] Warning: very low grad mean (6.15e-06)
[VisionTransformer] Warning: very low grad mean (2.07e-06)
[VisionTransformer] Warning: very low grad mean (2.52e-06)
[VisionTransformer] Warning: very low grad mean (5.25e-06)
[VisionTransformer] Warning: very low grad mean (3.64e-06)
[VisionTransformer] Warning: very low grad mean (1.49e-06)
[VisionTransformer] Warning: very low grad mean (2.59e-06)
[VisionTransformer] Warning: very low grad mean (2.43e-06)
[VisionTransformer] Warning: very low grad mean (3.24e-06)
[VisionTransformer] Warning: very low grad mean (1.62e-06)
[VisionTransformer] Warning: very low grad mean (1.80e-06)
[VisionTransformer] Warning: very low grad mean (1.89e-06)
[VisionTransformer] Warning: very low grad mean (2.58e-06)
[VisionTransformer] Warning: very low grad mean (3.79e-06)
[VisionTransformer] Warning: very low grad mean (2.13e-06)
[VisionTransformer] Warning: very low grad mean (2.91e-06)
[VisionTransformer] Warning: very low grad mean (2.92e-06)
[VisionTransformer] Warning: very low grad mean (2.42e-06)
[VisionTransformer] Warning: very low grad mean (2.38e-06)
[VisionTransformer] Warning: very low grad mean (1.29e-06)
[VisionTransformer] Warning: very low grad mean (7.52e-06)
[VisionTransformer] Warning: very low grad mean (2.43e-06)
[VisionTransformer] Warning: very low grad mean (2.41e-06)
[VisionTransformer] Warning: very low grad mean (5.74e-06)
[VisionTransformer] Warning: very low grad mean (1.41e-06)
[VisionTransformer] Warning: very low grad mean (3.75e-06)
[VisionTransformer] Warning: very low grad mean (4.15e-06)
[VisionTransformer] Warning: very low grad mean (2.46e-06)
[VisionTransformer] Train Epoch 14: Loss=0.00013, Acc=1.00000
[VisionTransformer] Val Epoch 14: Loss=0.24673, Acc=0.95333
[VisionTransformer] Early stopping on epoch 14
Accuracy on Test: 0.96667
=== Training finished for VisionTransformer ===

